Phrase,Author
el fracaso implicó deshacerse de todo lo innecesario dejé de fingir ante mí misma ser algo que no era y comencé a dedicar todas mis energías a terminar el único trabajo que me importaba,0
no todo consiste en firmar libros y fotos publicitarias si quieres ser famoso tiene que estar dispuesto a trabajar duro,0
todavía no me he olvidado de lo que se siente cuando no sabes si vas a tener suficiente dinero para pagar las facturas no tener que pensar en eso es el mayor lujo del mundo,0
cualquier cosa es posible si tiene suficiente valor,0
la esperanza es algo que se mantiene para siempre,0
no creo en el destino sino en el trabajo duro y en la suerte lo primero suelo conducir a lo segundo,0
se necesita una gran valentía para defender a nuestros amigos pero mucha más para hacer frente a nuestros enemigos,0
ten la imaginación viva nunca sabes cuándo puedes necesitarla,0
debemos recordar muchas veces la historia más importante de todas es la historia que estamos construyendo hoy en día,0
si deseas ver la grandeza real de un hombre observa la forma en que trata a sus inferiores no a sus iguales,0
la felicidad que sentimos tiene mucho que ver con comprender que la vida no es una lista de cosas que debemos conseguir tus logros no son tu vida,0
todos tenemos luz y oscuridad en nuestro interior lo que importan es lo que tomamos en cuenta a la hora de actuar eso define quienes somos realmente,0
después de todo para una mente bien organizada la muerte no es más que la siguiente gran aventura,0
la verdad es una cosa terrible y hermosa y por lo tanto debe ser tratada con gran cuidado,0
tengo la imaginación siempre viva nunca sabes cuando vas a necesitarla,0
lo único que nos da miedo cuando nos asomamos a la muerte y a la oscuridad es lo desconocido,0
lo único que quiero ver es un analgésico,0
dudley había alcanzado ya el tamaño y peso de una ballena asesina joven,0
tengo forma sólo cuando puedo compartir el cuerpo de pero siempre ha habido seres deseosos de dejarme entrar en sus corazones y en sus,0
podía ser no tenía amigos ni otros parientes ni siquiera era socio de la biblioteca así que nunca había recibido notas que le reclamarán la devolución de libros sin embargo allí estaba una carta dirigida a él de una manera tan clara que no había equivocación posible,0
la gente haría cualquier cosa para fingir que la magia no existe incluso cuando la tienen delante de las narices,0
la felicidad se puede encontrar incluso en los momentos más oscuros,0
el tiempo no transcurre más despacio cuando nos espera algo desagradable,0
un elfo que trabaja incómodo no trabaja bien y entonces no es un buen elfo,0
a veces la indiferencia y la frialdad causan mucho más daño que la aversión declarada,0
en caso de duda ve a la biblioteca,0
las diferencias de costumbres y lengua no son nada en absoluto si nuestros propósitos son los mismos y nos mostramos abiertos,0
la comprensión es el primer paso para la aceptación y sólo aceptando puede recuperarse,0
la verdad es siempre preferible a las mentiras,0
no tengo ni la menor idea de dónde vienen las ideas y espero no saberlo nunca,0
una cosa creo que me siento un rebelde,0
tal vez quienes son los más apropiados para tener el poder son aquellos que nunca lo buscaron aquellos quienes como tú tienen el liderazgo y toman las riendas porque deben hacerlo y descubren para su propio asombro que lo hacen bien,0
las historias que más amamos viven en nosotros para siempre así que cuando vuelvas o por las páginas o por la gran pantalla hogwarts estará siempre allí para darte la bienvenida a casa,0
ser gordo lo peor que un ser humano puede ser peor ser gordo que ser vengativo envidioso superficial vano aburrido o cruel no para mí,0
destino es la palabra que usamos para describir decisiones que tomamos en el pasado que tuvieron consecuencias dramáticas,0
en mi opinión las palabras son nuestra fuente más grande de magia y son capaces de dañar y sanar a alguien,0
no necesitamos magia para cambiar el mundo porque ya tenemos ese poder en nuestro interior tenemos el poder de imaginar un mundo mejor,0
la grandeza inspira envidia la envidia engendra rencor y el rencor produce mentiras,0
no importa cómo nacemos si no en lo que nos convertimos,0
tenemos que elegir entre lo que es correcto y lo que es fácil,0
