Phrase,Author
fracaso implicó deshacerse innecesario dejé fingir misma ser comencé dedicar todas energías terminar único trabajo importaba,0
consiste firmar libros fotos publicitarias si quieres ser famoso dispuesto trabajar duro,0
todavía olvidado sabes si vas tener suficiente dinero pagar facturas tener pensar mayor lujo mundo,0
cualquier cosa posible si suficiente valor,0
esperanza mantiene siempre,0
creo destino sino trabajo duro suerte primero suelo conducir segundo,0
necesita gran valentía defender amigos mucha hacer frente enemigos,0
ten imaginación viva nunca sabes cuándo puedes necesitarla,0
debemos recordar muchas veces historia importante todas historia construyendo hoy día,0
si deseas ver grandeza real hombre observa forma trata inferiores iguales,0
felicidad sentimos ver comprender vida lista cosas debemos conseguir logros vida,0
luz oscuridad interior importan tomamos cuenta hora actuar define realmente,0
después mente bien organizada muerte siguiente gran aventura,0
verdad cosa terrible hermosa debe ser tratada gran cuidado,0
imaginación siempre viva nunca sabes vas necesitarla,0
único da miedo asomamos muerte oscuridad desconocido,0
único quiero ver analgésico,0
dudley alcanzado tamaño peso ballena asesina joven,0
forma sólo puedo compartir cuerpo siempre seres deseosos dejarme entrar corazones,0
podía ser amigos parientes siquiera socio biblioteca así nunca recibido notas reclamarán devolución libros embargo allí carta dirigida manera tan clara equivocación posible,0
gente haría cualquier cosa fingir magia existe incluso delante narices,0
felicidad puede encontrar incluso momentos oscuros,0
tiempo transcurre despacio espera desagradable,0
elfo trabaja incómodo trabaja bien entonces buen elfo,0
veces indiferencia frialdad causan daño aversión declarada,0
caso duda ve biblioteca,0
diferencias costumbres lengua absoluto si propósitos mismos mostramos abiertos,0
comprensión primer paso aceptación sólo aceptando puede recuperarse,0
verdad siempre preferible mentiras,0
menor idea dónde vienen ideas espero saberlo nunca,0
cosa creo siento rebelde,0
tal vez apropiados tener poder aquellos nunca buscaron aquellos liderazgo toman riendas deben hacerlo descubren propio asombro hacen bien,0
historias amamos viven siempre así vuelvas páginas gran pantalla hogwarts siempre allí darte bienvenida casa,0
ser gordo peor ser humano puede ser peor ser gordo ser vengativo envidioso superficial vano aburrido cruel,0
destino palabra usamos describir decisiones tomamos pasado consecuencias dramáticas,0
opinión palabras fuente grande magia capaces dañar sanar alguien,0
necesitamos magia cambiar mundo poder interior poder imaginar mundo mejor,0
grandeza inspira envidia envidia engendra rencor rencor produce mentiras,0
importa cómo nacemos si convertimos,0
elegir correcto fácil,0
valoro coraje cualquier cosa,0
importante recordar magia dentro,0
sufrir mínimo fracaso vida inevitable imposible vivir fracasar ser viva tanta precaución podría decirse entonces vivido absoluto,0
bueno dejarse arrastrar sueños olvidarse vivir recuérdalo,0
gente encuentra fácil perdonar haberse equivocado haber razón,0
decisiones muestran podemos llegar ser propias habilidades,0
cuanto dragones dijo sirius hablando aquel momento manera harry ocurra emplear encantamiento aturdidor dragones demasiado fuertes demasiadas cualidades mágicas haga efecto solo encantamiento tipo,0
mejor morir traicionar amigos,0
miedo miedo,0
